category,subcategory,name,rasa_taste,virya_potency,vipaka_post_digestive,properties,dosha_effect,therapeutic_uses,contraindications,condition_disease,treatment_type,formulation_ingredients,preparation_method,dosage,diet_recommendation,lifestyle_recommendation,season,dosha_involved,symptom,prognosis,principle,source_reference,training_prompt,training_response
herb_substance,herb_properties,Grapes (draksha),sweet,cold,sweet,"bulk-promoting, aphrodisiac, unctuous",alleviates V and P,"thirst, burning sensation, fever, dyspnoea, internal haemorrhage, wound, wasting, hoarseness, cough",,,,,,,,,,,,,,Su27,What are the properties and uses of Grapes (draksha) according to Charaka Samhita?,"Grapes (draksha) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: bulk-promoting, aphrodisiac, unctuous. Dosha effect: alleviates V and P. Therapeutic uses: thirst, burning sensation, fever, dyspnoea, internal haemorrhage, wound, wasting, hoarseness, cough. Source: Su27."
herb_substance,herb_properties,Dates (kharjura),sweet,cold,sweet,"bulk-promoting, aphrodisiac, heavy",alleviates V and P,"wasting, injury, burning sensation",,,,,,,,,,,,,,Su27,What are the properties and uses of Dates (kharjura) according to Charaka Samhita?,"Dates (kharjura) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: bulk-promoting, aphrodisiac, heavy. Dosha effect: alleviates V and P. Therapeutic uses: wasting, injury, burning sensation. Source: Su27."
herb_substance,herb_properties,Madhuka/licorice (parushaka),sweet,cold,sweet,"bulk-promoting, aphrodisiac",alleviates V and P,"thirst, burning sensation, wasting",,,,,,,,,,,,,,Su27,What are the properties and uses of Madhuka/licorice (parushaka) according to Charaka Samhita?,"Madhuka/licorice (parushaka) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: bulk-promoting, aphrodisiac. Dosha effect: alleviates V and P. Therapeutic uses: thirst, burning sensation, wasting. Source: Su27."
herb_substance,herb_properties,Rock salt (saindhava),salty,cold,sweet,"light, digestive",alleviates V and P,"digestion, appetizer",,,,,,,,,,,,,,Su27,What are the properties and uses of Rock salt (saindhava) according to Charaka Samhita?,"Rock salt (saindhava) has salty taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: light, digestive. Dosha effect: alleviates V and P. Therapeutic uses: digestion, appetizer. Source: Su27."
herb_substance,herb_properties,Ghee (ghrita),sweet,cold,sweet,"heavy, unctuous",alleviates V and P; enhances Agni,"used in all treatments, enema base, rasayana",,,,,,,,,,,,,,Su27,What are the properties and uses of Ghee (ghrita) according to Charaka Samhita?,"Ghee (ghrita) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous. Dosha effect: alleviates V and P; enhances Agni. Therapeutic uses: used in all treatments, enema base, rasayana. Source: Su27."
herb_substance,herb_properties,Honey (madhu),sweet/astringent,cold,pungent,"light, dry, yogavahi",alleviates K and P,"wounds, eye disorders, obesity, cough, hiccough",,,,,,,,,,,,,,Su27,What are the properties and uses of Honey (madhu) according to Charaka Samhita?,"Honey (madhu) has sweet/astringent taste (rasa), cold potency (virya), and pungent post-digestive effect (vipaka). Properties: light, dry, yogavahi. Dosha effect: alleviates K and P. Therapeutic uses: wounds, eye disorders, obesity, cough, hiccough. Source: Su27."
herb_substance,herb_properties,Milk (ksheera),sweet,cold,sweet,"heavy, unctuous, bulk-promoting",alleviates V and P,"rasayana, wasting, insomnia, general nourishment",,,,,,,,,,,,,,Su27,What are the properties and uses of Milk (ksheera) according to Charaka Samhita?,"Milk (ksheera) has sweet taste (rasa), cold potency (virya), and sweet post-digestive effect (vipaka). Properties: heavy, unctuous, bulk-promoting. Dosha effect: alleviates V and P. Therapeutic uses: rasayana, wasting, insomnia, general nourishment. Source: Su27."
herb_substance,herb_properties,Sesame oil (tila taila),sweet/bitter,hot,pungent,"heavy, penetrating, subtle",alleviates V,"massage, enema base, wounds",,,,,,,,,,,,,,Su27,What are the properties and uses of Sesame oil (tila taila) according to Charaka Samhita?,"Sesame oil (tila taila) has sweet/bitter taste (rasa), hot potency (virya), and pungent post-digestive effect (vipaka). Properties: heavy, penetrating, subtle. Dosha effect: alleviates V. Therapeutic uses: massage, enema base, wounds. Source: Su27."
herb_substance,herb_properties,Castor oil (eranda),sweet/bitter/pungent,hot,sweet,"unctuous, heavy, penetrating",alleviates V,"purgative, joint disorders, V diseases",,,,,,,,,,,,,,Su27,What are the properties and uses of Castor oil (eranda) according to Charaka Samhita?,"Castor oil (eranda) has sweet/bitter/pungent taste (rasa), hot potency (virya), and sweet post-digestive effect (vipaka). Properties: unctuous, heavy, penetrating. Dosha effect: alleviates V. Therapeutic uses: purgative, joint disorders, V diseases. Source: Su27."
herb_substance,herb_properties,Pippali (long pepper),pungent,initially cold/ultimately hot,sweet,"light, penetrating",alleviates V and K; stimulates Agni,"digestive, respiratory, cough, fever",,,,,,,,,,,,,,Su27,What are the properties and uses of Pippali (long pepper) according to Charaka Samhita?,"Pippali (long pepper) has pungent taste (rasa), initially cold/ultimately hot potency (virya), and sweet post-digestive effect (vipaka). Properties: light, penetrating. Dosha effect: alleviates V and K; stimulates Agni. Therapeutic uses: digestive, respiratory, cough, fever. Source: Su27."
